h1,h2,left,right,above,below,front,behind,over,under,in,touch,at,between,near,on top of,beside,facing,total
35,19,0.8157894736842105,0.96,0.7692307692307693,0.8260869565217391,0.75,0.72,1.0,0.9090909090909091,0.9,0.7555555555555555,1.0,0.9629629629629629,0.96875,0.8571428571428571,1.0,0.75,0.8599562363238512
35,19,0.9210526315789473,0.92,0.9230769230769231,0.7391304347826086,0.7272727272727273,0.56,0.6666666666666666,0.8181818181818182,0.7,0.7555555555555555,1.0,0.8148148148148148,0.96875,0.9090909090909091,1.0,0.5,0.8468271334792122
35,19,0.8421052631578947,0.96,0.7307692307692307,0.782608695652174,0.6363636363636364,0.64,0.3333333333333333,0.9090909090909091,0.9,0.7777777777777778,1.0,0.8888888888888888,0.84375,0.8441558441558441,1.0,0.5,0.8227571115973742
35,21,0.868421052631579,0.96,0.9230769230769231,0.782608695652174,0.6818181818181818,0.56,1.0,0.9090909090909091,0.8,0.8222222222222222,0.8717948717948718,0.9259259259259259,0.96875,0.7792207792207793,0.6666666666666666,0.25,0.8271334792122538
35,21,0.9473684210526315,0.92,0.9230769230769231,0.8260869565217391,0.7954545454545454,0.72,1.0,1.0,0.8,0.7333333333333333,1.0,0.8888888888888888,0.9375,0.8181818181818182,0.6666666666666666,1.0,0.8643326039387309
35,21,0.868421052631579,0.9,0.8076923076923077,0.8260869565217391,0.7045454545454546,0.8,0.3333333333333333,0.7272727272727273,1.0,0.7555555555555555,0.9487179487179487,0.9629629629629629,0.9375,0.7662337662337663,0.6666666666666666,0.5,0.8271334792122538
35,21,0.8947368421052632,0.92,0.9230769230769231,0.8695652173913043,0.7045454545454546,0.64,1.0,1.0,0.9,0.8222222222222222,0.9487179487179487,0.8888888888888888,0.9375,0.8571428571428571,0.6666666666666666,1.0,0.862144420131291
35,21,0.9473684210526315,0.94,0.9230769230769231,0.7391304347826086,0.7272727272727273,0.44,0.3333333333333333,0.8181818181818182,0.8,0.7777777777777778,1.0,1.0,0.875,0.8311688311688312,0.6666666666666666,0.75,0.838074398249453
35,23,0.8421052631578947,0.98,0.8461538461538461,0.6086956521739131,0.6590909090909091,0.8,1.0,0.8181818181818182,0.8,0.8222222222222222,0.9230769230769231,0.7777777777777778,0.90625,0.8441558441558441,1.0,1.0,0.8336980306345733
35,23,0.8947368421052632,0.72,0.8076923076923077,0.8695652173913043,0.7045454545454546,0.76,1.0,0.9090909090909091,1.0,0.7777777777777778,0.9230769230769231,0.8518518518518519,0.9375,0.8701298701298701,1.0,1.0,0.8358862144420132
35,23,0.9473684210526315,0.9,0.8076923076923077,0.7391304347826086,0.6590909090909091,0.8,1.0,0.9090909090909091,0.9,0.8222222222222222,0.9230769230769231,0.7777777777777778,0.84375,0.8441558441558441,0.6666666666666666,0.75,0.8336980306345733
35,23,0.9473684210526315,0.86,0.8846153846153846,0.7391304347826086,0.6590909090909091,0.56,1.0,0.9090909090909091,0.9,0.8444444444444444,0.9487179487179487,0.9259259259259259,0.9375,0.8961038961038961,1.0,0.5,0.849015317286652
35,23,0.7894736842105263,0.94,0.8076923076923077,0.6956521739130435,0.7272727272727273,0.84,1.0,1.0,0.9,0.8444444444444444,0.9230769230769231,0.9629629629629629,0.90625,0.9090909090909091,1.0,0.0,0.8577680525164114
35,25,0.9210526315789473,0.88,0.9230769230769231,0.782608695652174,0.6818181818181818,0.68,0.6666666666666666,0.9090909090909091,0.8,0.7333333333333333,0.9743589743589743,0.7777777777777778,0.90625,0.8441558441558441,0.6666666666666666,0.25,0.824945295404814
35,25,0.8421052631578947,0.88,0.8461538461538461,0.7391304347826086,0.5227272727272727,0.76,1.0,0.8181818181818182,1.0,0.8888888888888888,0.9487179487179487,0.8888888888888888,0.875,0.6883116883116883,0.3333333333333333,1.0,0.8008752735229759
35,25,0.8421052631578947,0.88,0.8846153846153846,0.8260869565217391,0.6818181818181818,0.52,0.6666666666666666,0.9090909090909091,1.0,0.8444444444444444,0.9487179487179487,0.9629629629629629,0.875,0.8961038961038961,0.3333333333333333,0.5,0.8402625820568927
35,25,0.8157894736842105,0.86,0.8076923076923077,0.8695652173913043,0.6363636363636364,0.88,0.6666666666666666,1.0,1.0,0.7555555555555555,0.9230769230769231,0.8518518518518519,0.90625,0.8701298701298701,1.0,0.75,0.838074398249453
35,25,0.9473684210526315,0.94,0.8846153846153846,0.8695652173913043,0.6363636363636364,0.64,1.0,0.9090909090909091,0.8,0.8444444444444444,0.8974358974358975,0.8148148148148148,0.9375,0.7532467532467533,0.3333333333333333,1.0,0.8293216630196937
35,27,0.8421052631578947,0.96,0.9230769230769231,0.6521739130434783,0.75,0.6,1.0,0.9090909090909091,0.8,0.8222222222222222,0.9230769230769231,0.9629629629629629,0.90625,0.7792207792207793,1.0,0.75,0.8358862144420132
35,27,0.7631578947368421,0.9,0.9230769230769231,0.782608695652174,0.75,0.72,0.6666666666666666,0.9090909090909091,0.6,0.6666666666666666,1.0,0.7777777777777778,1.0,0.7792207792207793,1.0,0.75,0.8161925601750547
35,27,0.9473684210526315,0.92,0.9230769230769231,0.6956521739130435,0.5681818181818182,0.84,0.3333333333333333,0.7272727272727273,0.8,0.8666666666666667,0.9743589743589743,0.9259259259259259,0.84375,0.7792207792207793,0.3333333333333333,0.75,0.8271334792122538
35,27,0.9210526315789473,0.82,0.8461538461538461,0.782608695652174,0.75,0.64,1.0,0.9090909090909091,0.8,0.8444444444444444,0.8974358974358975,0.7407407407407407,0.90625,0.8311688311688312,0.6666666666666666,0.75,0.824945295404814
35,27,0.9736842105263158,0.94,0.8461538461538461,0.782608695652174,0.6818181818181818,0.64,1.0,0.9090909090909091,0.8,0.7333333333333333,0.8974358974358975,0.9259259259259259,0.90625,0.7922077922077922,0.6666666666666666,0.75,0.8293216630196937
35,29,0.9210526315789473,0.9,0.8846153846153846,0.782608695652174,0.7272727272727273,0.72,0.6666666666666666,0.7272727272727273,0.9,0.6444444444444445,0.8205128205128205,1.0,0.84375,0.7922077922077922,1.0,0.75,0.8140043763676149
35,29,0.8421052631578947,0.8,0.8076923076923077,0.8695652173913043,0.75,0.64,1.0,1.0,0.9,0.7111111111111111,0.9487179487179487,0.8888888888888888,0.9375,0.961038961038961,1.0,0.5,0.8468271334792122
35,29,0.8947368421052632,0.88,0.7692307692307693,0.9130434782608695,0.75,0.68,1.0,0.8181818181818182,0.9,0.8666666666666667,1.0,0.9629629629629629,0.9375,0.8701298701298701,1.0,0.75,0.8687089715536105
35,29,0.7894736842105263,0.9,0.8461538461538461,0.7391304347826086,0.6590909090909091,0.72,1.0,1.0,0.9,0.6222222222222222,0.9743589743589743,0.9629629629629629,0.9375,0.8181818181818182,0.3333333333333333,0.25,0.811816192560175
35,29,0.7631578947368421,0.94,0.8846153846153846,0.782608695652174,0.6590909090909091,0.72,0.6666666666666666,0.8181818181818182,0.9,0.7555555555555555,0.9743589743589743,0.9629629629629629,0.875,0.8311688311688312,0.0,0.75,0.824945295404814
35,31,0.8157894736842105,0.9,0.8461538461538461,0.8695652173913043,0.7045454545454546,0.68,0.6666666666666666,0.9090909090909091,0.7,0.7777777777777778,0.9743589743589743,0.9259259259259259,0.9375,0.8181818181818182,0.6666666666666666,1.0,0.8358862144420132
35,31,0.9736842105263158,0.92,0.8461538461538461,0.6521739130434783,0.8409090909090909,0.6,1.0,0.9090909090909091,0.9,0.8222222222222222,0.9230769230769231,0.9259259259259259,0.8125,0.8051948051948052,0.6666666666666666,1.0,0.8446389496717724
35,31,1.0,0.9,0.9230769230769231,0.9130434782608695,0.7727272727272727,0.76,1.0,0.9090909090909091,0.8,0.6888888888888889,0.9487179487179487,0.7407407407407407,0.90625,0.8701298701298701,1.0,0.75,0.8577680525164114
35,31,0.9210526315789473,0.94,0.7307692307692307,0.782608695652174,0.6136363636363636,0.76,0.6666666666666666,0.9090909090909091,0.9,0.8,0.9743589743589743,0.7407407407407407,0.875,0.7922077922077922,0.0,1.0,0.8161925601750547
35,31,0.868421052631579,0.76,0.8846153846153846,0.7391304347826086,0.6590909090909091,0.68,1.0,1.0,1.0,0.7777777777777778,0.9743589743589743,0.7407407407407407,0.90625,0.8181818181818182,1.0,0.5,0.811816192560175
35,33,0.8947368421052632,0.98,0.8461538461538461,0.6956521739130435,0.5,0.64,0.6666666666666666,0.6363636363636364,0.8,0.8,0.9230769230769231,0.9259259259259259,0.90625,0.8571428571428571,1.0,0.75,0.8183807439824945
35,33,1.0,0.94,0.8076923076923077,0.782608695652174,0.5681818181818182,0.68,0.6666666666666666,0.8181818181818182,1.0,0.6888888888888889,0.9487179487179487,0.9259259259259259,1.0,0.7012987012987013,1.0,0.5,0.811816192560175
35,33,0.7894736842105263,0.88,0.9230769230769231,0.6956521739130435,0.6363636363636364,0.8,0.6666666666666666,1.0,0.9,0.8666666666666667,0.9743589743589743,0.9259259259259259,0.84375,0.8181818181818182,0.6666666666666666,0.75,0.8336980306345733
35,33,0.868421052631579,0.9,0.9230769230769231,0.8260869565217391,0.7272727272727273,0.68,0.6666666666666666,1.0,0.7,0.7333333333333333,0.9487179487179487,0.8888888888888888,0.84375,0.7922077922077922,0.6666666666666666,0.75,0.824945295404814
35,33,0.9210526315789473,0.92,0.8846153846153846,0.7391304347826086,0.6818181818181818,0.56,1.0,1.0,0.8,0.8666666666666667,0.9487179487179487,0.8148148148148148,0.84375,0.935064935064935,0.6666666666666666,0.75,0.8512035010940919
35,35,0.9473684210526315,0.94,0.8461538461538461,0.6521739130434783,0.6818181818181818,0.48,0.6666666666666666,1.0,0.9,0.7333333333333333,0.8974358974358975,0.9629629629629629,0.875,0.8701298701298701,1.0,0.75,0.8293216630196937
35,35,0.9473684210526315,0.94,0.9230769230769231,0.9130434782608695,0.6136363636363636,0.76,1.0,0.8181818181818182,1.0,0.6666666666666666,0.9743589743589743,0.9259259259259259,0.9375,0.8701298701298701,1.0,0.75,0.8577680525164114
35,35,0.8421052631578947,0.92,0.8846153846153846,0.782608695652174,0.6363636363636364,0.52,1.0,0.9090909090909091,0.8,0.7777777777777778,0.8717948717948718,0.8888888888888888,0.9375,0.7922077922077922,0.6666666666666666,0.5,0.8074398249452954
35,35,0.9210526315789473,0.92,0.9615384615384616,0.6956521739130435,0.7272727272727273,0.68,0.6666666666666666,1.0,0.7,0.8666666666666667,0.9487179487179487,0.9259259259259259,0.875,0.7922077922077922,0.3333333333333333,0.75,0.8424507658643327
35,35,0.868421052631579,0.86,0.8846153846153846,0.6956521739130435,0.7727272727272727,0.76,0.6666666666666666,1.0,0.8,0.7333333333333333,0.9487179487179487,1.0,0.90625,0.9090909090909091,1.0,0.75,0.8555798687089715
